evol_step,trace,size,alpha
1,1.0001124440074265,33,-2.015668433257348
2,1.0004740661379476,45,-1.9346740328088599
3,0.9997835367782835,55,-1.862741195563446
4,0.9997845565963825,65,-1.638179658334425
5,1.0001243048434707,71,-1.5900997165902784
6,0.9972146038835745,81,-1.534225269967086
7,0.99847693501869,85,-1.4390869019107482
8,0.9988911086412922,83,-1.3952655833311403
9,0.9992917867027882,83,-1.3049146833559098
10,0.9999973979464194,85,-1.3338298339826453
11,0.9987035251436074,85,-1.3381486576846278
12,0.9996336923926654,85,-1.3050917643741025
13,1.0005231299579125,79,-1.3274159654470579
14,0.9988277757994446,81,-1.321476164395564
15,1.0007322059315613,85,-1.297782982888771
16,0.9994389384831193,85,-1.2939429956254713
17,1.0008034744616259,85,-1.2886343209256426
18,0.999130307238189,85,-1.2730014018359699
19,0.9983664696581724,85,-1.2657117230804988
20,0.9980065183655762,81,-1.2642122732498418
21,0.9974285380525696,85,-1.2852579207435701
22,0.9965069053611226,83,-1.302884605738722
23,0.9951208910722111,85,-1.3159479462511046
24,0.995265652757132,85,-1.3635552123097259
25,0.9947956370442821,85,-1.400456175127938
26,0.9965920554971994,85,-1.4065712003477557
27,0.9978011300747851,85,-1.3887588806769955
28,0.9985874474852858,85,-1.4041292271214134
29,0.9987853490645637,85,-1.3627203594925952
30,0.9994780427177139,85,-1.352958972380187
31,1.0004386671573726,85,-1.315365381718934
32,0.9996708068047706,85,-1.284160921824442
33,1.001227283097447,85,-1.2674502633691231
34,0.9996813774038205,85,-1.281476172524096
35,1.0016531906515267,85,-1.2588539649725887
36,1.0019554929162626,85,-1.2497203513501396
37,1.003047858946676,81,-1.267718967921652
38,1.003350420890703,81,-1.2753616726605261
39,1.0014106491310737,85,-1.2810260785787855
40,1.000554941502434,85,-1.3086839637773164
41,1.0007991508169478,81,-1.2827493095121347
42,0.999488972698036,85,-1.2984806257877335
43,0.9991746084306585,85,-1.3154852805328485
44,0.999031456488249,81,-1.3412528456947133
45,0.9979526880946288,81,-1.3423547040375505
46,0.9974238313645847,85,-1.3756590169950544
47,0.9958472575314055,85,-1.3417466009878503
48,0.995636862544075,81,-1.3613304159846327
49,0.9979200851069818,77,-1.3573917451115982
