time,trace,size,alpha
0.0724652776703242,1.0001124440074265,33,-2.015668433257348
0.1449305553406484,1.0004740661379476,45,-1.9346740328088599
0.2173958330109726,0.9997835367782835,55,-1.862741195563446
0.2898611106812968,0.9997845565963825,65,-1.638179658334425
0.36232638835162095,1.0001243048434707,71,-1.5900997165902784
0.4347916660219452,0.9972146038835745,81,-1.534225269967086
0.5072569436922694,0.99847693501869,85,-1.4390869019107482
0.5797222213625935,0.9988911086412922,83,-1.3952655833311403
0.6521874990329177,0.9992917867027882,83,-1.3049146833559098
0.7246527767032419,0.9999973979464194,85,-1.3338298339826453
0.7971180543735661,0.9987035251436074,85,-1.3381486576846278
0.8695833320438904,0.9996336923926654,85,-1.3050917643741025
0.9420486097142146,1.0005231299579125,79,-1.3274159654470579
1.0145138873845387,0.9988277757994446,81,-1.321476164395564
1.0869791650548628,1.0007322059315613,85,-1.297782982888771
1.159444442725187,0.9994389384831193,85,-1.2939429956254713
1.2319097203955114,1.0008034744616259,85,-1.2886343209256426
1.3043749980658355,0.999130307238189,85,-1.2730014018359699
1.3768402757361597,0.9983664696581724,85,-1.2657117230804988
1.4493055534064838,0.9980065183655762,81,-1.2642122732498418
1.521770831076808,0.9974285380525696,85,-1.2852579207435701
1.5942361087471322,0.9965069053611226,83,-1.302884605738722
1.6667013864174565,0.9951208910722111,85,-1.3159479462511046
1.7391666640877808,0.995265652757132,85,-1.3635552123097259
1.8116319417581048,0.9947956370442821,85,-1.400456175127938
1.8840972194284291,0.9965920554971994,85,-1.4065712003477557
1.9565624970987532,0.9978011300747851,85,-1.3887588806769955
2.0290277747690775,0.9985874474852858,85,-1.4041292271214134
2.1014930524394018,0.9987853490645637,85,-1.3627203594925952
2.1739583301097256,0.9994780427177139,85,-1.352958972380187
2.24642360778005,1.0004386671573726,85,-1.315365381718934
2.318888885450374,0.9996708068047706,85,-1.284160921824442
2.3913541631206985,1.001227283097447,85,-1.2674502633691231
2.4638194407910228,0.9996813774038205,85,-1.281476172524096
2.5362847184613466,1.0016531906515267,85,-1.2588539649725887
2.608749996131671,1.0019554929162626,85,-1.2497203513501396
2.681215273801995,1.003047858946676,81,-1.267718967921652
2.7536805514723195,1.003350420890703,81,-1.2753616726605261
2.8261458291426433,1.0014106491310737,85,-1.2810260785787855
2.8986111068129676,1.000554941502434,85,-1.3086839637773164
2.971076384483292,1.0007991508169478,81,-1.2827493095121347
3.043541662153616,0.999488972698036,85,-1.2984806257877335
3.1160069398239405,0.9991746084306585,85,-1.3154852805328485
3.1884722174942643,0.999031456488249,81,-1.3412528456947133
3.2609374951645886,0.9979526880946288,81,-1.3423547040375505
3.333402772834913,0.9974238313645847,85,-1.3756590169950544
3.405868050505237,0.9958472575314055,85,-1.3417466009878503
3.4783333281755615,0.995636862544075,81,-1.3613304159846327
3.5507986058458854,0.9979200851069818,77,-1.3573917451115982
